Address	Postal_code	Phone_Number	Student_ID
Bangalore	560@ 045	96523148	1
Chennai	560036	8079512634	2
Coimbatore	560024	7760548925	3
Hyderabad	560058	9886542189	4
Pune	560065	9885214763	5
Kolkata	560016	8045627932	6
Bangalore	560044	8703456785	7
Coimbatore	560098	7890567845	8
Pune	560057	8904567234	9
Hyderabad	560079	9876458902	10
Kochi	560099	7893452156	11
Nagpur	560096	8932451234	12
Mumbai	560043	9723456712	13
Chennai	560034	7902313456	14
Bangalore	560077	8932124567	15
Hyderabad	560065	8231673425	16
Kochi	560042	7342156767	17
Pune	560047	7129845637	18
Mumbai	560093	8937389829	19
Delhi	560023	7588938929	20
Chennai	560087	8734837929	21
Coimbatore	560056	7388928918	22
Kolkata	560013	8918989391	23
Chennai	560017	8938929819	24
Kochi	560019	8986362719	25
Mumbai	560085	9463282918	26
Nagpur	560033	8989827189	27
Chennai	560020	7822791819	28
Hyderabad	560048	8362871919	29
Coimbatore	560027	8372981910	30
Nagpur	560030	7287181819	31
Pune	560040	9372872919	32
Trivandrum	560010	8372872819	33
Coimbatore	560051	7372792892	34
Kochi	560041	8398282989	35
Delhi	560071	9828721989	36
Mumbai	560081	8298298919	37
Nagpur	560084	7387298919	38
Jaipur	560038	8372878291	39
Mumbai	560090	9367817199	40          
